2020-05-05 15:30:35 INFO  DownloadEventsService:97 - Получаю статусы по событию с id= 8b15dcdc-aca7-4c05-b07e-ee9a8f129a75
2020-05-05 15:30:36 INFO  DownloadEventsService:101 - Загружено 3 записей из аудитлога по событию = 8b15dcdc-aca7-4c05-b07e-ee9a8f129a75
2020-05-05 15:30:36 INFO  DownloadEventsService:84 - Обрабатываю событие с id= ccd454e0-44e7-4e3a-99f6-92506e960c7a, тип REGISTER, статус WAITING
2020-05-05 15:30:36 INFO  DownloadEventsService:97 - Получаю статусы по событию с id= ccd454e0-44e7-4e3a-99f6-92506e960c7a
2020-05-05 15:30:36 INFO  DownloadEventsService:101 - Загружено 3 записей из аудитлога по событию = ccd454e0-44e7-4e3a-99f6-92506e960c7a
2020-05-05 15:30:36 INFO  DownloadEventsService:84 - Обрабатываю событие с id= f946269d-205a-41d3-bd7f-531fbab89b2c, тип REGISTER, статус WAITING
2020-05-05 15:30:36 INFO  DownloadEventsService:97 - Получаю статусы по событию с id= f946269d-205a-41d3-bd7f-531fbab89b2c
2020-05-05 15:30:36 INFO  DownloadEventsService:101 - Загружено 3 записей из аудитлога по событию = f946269d-205a-41d3-bd7f-531fbab89b2c
2020-05-05 15:30:36 INFO  DownloadEventsService:84 - Обрабатываю событие с id= 8a2bed27-568d-4932-add3-10d9cf434cf1, тип REGISTER, статус WAITING
2020-05-05 15:30:36 INFO  DownloadEventsService:97 - Получаю статусы по событию с id= 8a2bed27-568d-4932-add3-10d9cf434cf1
2020-05-05 15:30:36 INFO  DownloadEventsService:101 - Загружено 3 записей из аудитлога по событию = 8a2bed27-568d-4932-add3-10d9cf434cf1
2020-05-05 15:30:36 INFO  DownloadEventsService:84 - Обрабатываю событие с id= 19285e2d-c263-4e07-8c2e-b75230e85f42, тип REGISTER, статус WAITING
2020-05-05 15:30:36 INFO  DownloadEventsService:97 - Получаю статусы по событию с id= 19285e2d-c263-4e07-8c2e-b75230e85f42
2020-05-05 15:30:36 INFO  DownloadEventsService:101 - Загружено 3 записей из аудитлога по событию = 19285e2d-c263-4e07-8c2e-b75230e85f42
